no,분류,카테고리번호,HOT/ICE,이름,가격,설명
1,디카페인,1,HOT,디카페인 아메리카노,2500,향과 풍미 그대로 카페인만을 낮춰 민감한 분들도 안심하고 매일매일 즐길 수 있는 디카페인 커피
2,디카페인,2,HOT,디카페인 카페라떼,3900,디카페인 에스프레소와 부드러운 우유가 어우러져 고소한 풍미를 완성한 라떼.
3,디카페인,3,HOT,디카페인 바닐라라떼,4400,디카페인으로 즐기는 바닐라의 짙은 향과 풍부한 폼 밀크의 조화가 인상적인 달콤한 라떼.
4,디카페인,4,HOT,디카페인 연유라떼,4900,"디카페인 에스프레소 샷, 부드러운 우유 그리고 달콤한 연유가 조화롭게 어우러진 라떼."
5,디카페인,5,HOT,디카페인 카라멜마끼아또,4700,폼 밀크 속에 진한 디카페인 에스프레소와 달콤한 카라멜을 가미해 부드럽게 즐기는 커피
6,디카페인,6,HOT,디카페인 카페모카,4900,"초코를 만나 풍부해진 디카페인 에스프레소와 고소한 우유, 부드러운 휘핑크림까지 더해 달콤하게 즐기는 커피."
7,디카페인,7,HOT,디카페인 카푸치노,3900,디카페인 에스프레소와 부드러운 우유가 어우러져 고소한 풍미를 완성한 카푸치노.
8,디카페인,8,ICE,디카페인 아메리카노,2500,향과 풍미 그대로 카페인만을 낮춰 민감한 분들도 안심하고 매일매일 즐길 수 있는 디카페인 커피
9,디카페인,9,ICE,디카페인 카페라떼,3900,디카페인 에스프레소와 부드러운 우유가 어우러져 고소한 풍미를 완성한 라떼.
10,디카페인,10,ICE,디카페인 바닐라라떼,4400,디카페인으로 즐기는 바닐라의 짙은 향과 풍부한 폼 밀크의 조화가 인상적인 달콤한 라떼.
11,디카페인,11,ICE,디카페인 연유라떼,4900,"디카페인 에스프레소 샷, 부드러운 우유 그리고 달콤한 연유가 조화롭게 어우러진 라떼."
12,디카페인,12,ICE,디카페인 카라멜마끼아또,4700,폼 밀크 속에 진한 디카페인 에스프레소와 달콤한 카라멜을 가미해 부드럽게 즐기는 커피
13,디카페인,13,ICE,디카페인 카페모카,4900,"초코를 만나 풍부해진 디카페인 에스프레소와 고소한 우유, 부드러운 휘핑크림까지 더해 달콤하게 즐기는 커피."
14,디카페인,14,ICE,디카페인 카푸치노,3900,디카페인 에스프레소와 부드러운 우유가 어우러져 고소한 풍미를 완성한 카푸치노.
